"customer_key","year_birth","age_in_2014","generation","education","marital_status","living_situation","income","kidhome","teenhome","dt_customer","is_parent","household_size","year"
"100575","1975","39","Gen X","Master","Married","Partner","92163","0","0","2012-12-12 00:00:00","false","2","2012"
"100367","1975","39","Gen X","Master","Single","Alone","46098","1","1","2012-08-18 00:00:00","true","3","2012"
"101489","1956","58","Baby Boomer","Master","Married","Partner","90226","0","0","2012-09-26 00:00:00","false","2","2012"
"101953","1966","48","Gen X","Master","Divorced","Alone","29435","1","1","2012-06-08 00:00:00","true","3","2012"
"100070","1954","60","Baby Boomer","Master","Married","Partner","66991","0","0","2012-11-09 00:00:00","false","2","2012"
"100589","1986","28","Millennial","Master","Single","Alone","21888","1","0","2012-12-29 00:00:00","true","2","2012"
"101477","1952","62","Baby Boomer","Master","Together","Partner","40442","1","1","2012-08-19 00:00:00","true","4","2012"
"100245","1969","45","Gen X","Master","Together","Partner","65176","0","1","2012-10-29 00:00:00","true","3","2012"
"101464","1964","50","Gen X","Master","Single","Alone","63972","0","1","2012-02-12 00:00:00","true","2","2012"
"100601","1960","54","Baby Boomer","Master","Married","Partner","30522","0","1","2012-08-17 00:00:00","true","3","2012"
"100619","1950","64","Baby Boomer","Master","Divorced","Alone","63120","0","1","2012-09-28 00:00:00","true","2","2012"
"101938","1976","38","Gen X","Master","Together","Partner","37509","1","0","2012-12-09 00:00:00","true","3","2012"
"101724","1959","55","Baby Boomer","Master","Widow","Alone","33051","0","0","2012-08-16 00:00:00","false","1","2012"
"101247","1956","58","Baby Boomer","Master","Single","Alone","64857","0","0","2012-11-23 00:00:00","false","1","2012"
"101212","1968","46","Gen X","Master","Divorced","Alone","23748","1","0","2012-11-21 00:00:00","true","2","2012"
"100076","1972","42","Gen X","Master","Married","Partner","75251","0","0","2012-08-27 00:00:00","false","2","2012"
"100139","1992","22","Millennial","Master","Single","Alone","92859","0","0","2012-10-19 00:00:00","false","1","2012"
"101716","1971","43","Gen X","Master","Together","Partner","30538","1","0","2012-01-10 00:00:00","true","3","2012"
"101706","1951","63","Baby Boomer","Master","Single","Alone","58217","2","1","2012-11-17 00:00:00","true","4","2012"
"101456","1962","52","Baby Boomer","Master","Together","Partner","47175","1","1","2012-10-28 00:00:00","true","4","2012"
"101138","1969","45","Gen X","Master","Widow","Alone","67369","0","1","2012-11-17 00:00:00","true","2","2012"
"100051","1964","50","Gen X","Master","Married","Partner","79143","0","0","2012-11-08 00:00:00","false","2","2012"
"100686","1965","49","Gen X","Master","Single","Alone","55250","0","1","2012-10-21 00:00:00","true","2","2012"
"100695","1965","49","Gen X","Master","Married","Partner","74806","0","1","2012-12-19 00:00:00","true","3","2012"
"101137","1970","44","Gen X","Master","Divorced","Alone","78579","0","0","2012-12-22 00:00:00","false","1","2012"
"101581","1956","58","Baby Boomer","Master","Together","Partner","58656","0","1","2012-09-20 00:00:00","true","3","2012"
"101123","1952","62","Baby Boomer","Master","Married","Partner","33444","1","1","2012-03-11 00:00:00","true","4","2012"
"100471","1960","54","Baby Boomer","Master","Together","Partner","83151","0","0","2012-10-10 00:00:00","false","2","2012"
"101919","1976","38","Gen X","Master","Married","Partner","81929","1","0","2012-09-29 00:00:00","true","3","2012"
"101858","1949","65","Baby Boomer","Master","Together","Partner","49912","0","1","2012-07-09 00:00:00","true","3","2012"
"100289","1952","62","Baby Boomer","Master","Together","Partner","55951","0","1","2012-08-23 00:00:00","true","3","2012"
"101411","1973","41","Gen X","Master","Married","Partner","54108","1","1","2012-05-11 00:00:00","true","4","2012"
"101016","1949","65","Baby Boomer","Master","Married","Partner","62845","1","1","2012-01-10 00:00:00","true","4","2012"
"101002","1965","49","Gen X","Master","Single","Alone","33168","0","1","2012-10-13 00:00:00","true","2","2012"
"100055","1955","59","Baby Boomer","Master","Together","Partner","82384","0","0","2012-11-19 00:00:00","false","2","2012"
"101358","1948","66","Baby Boomer","Master","Widow","Alone","78427","0","0","2012-10-24 00:00:00","false","1","2012"
"101328","1970","44","Gen X","Master","Married","Partner","44511","1","0","2012-12-10 00:00:00","true","3","2012"
"101296","1958","56","Baby Boomer","Master","Single","Alone","75154","0","1","2012-04-09 00:00:00","true","2","2012"
"100971","1968","46","Gen X","Master","Together","Partner","34053","0","1","2012-10-09 00:00:00","true","3","2012"
"101276","1977","37","Gen X","Master","Married","Partner","43263","0","1","2012-11-21 00:00:00","true","3","2012"
"102023","1985","29","Millennial","Master","Together","Partner","40101","1","0","2012-10-14 00:00:00","true","3","2012"
